App,TestClass,TestFilePath,ProductionFilePath,RelativeTestFilePath,RelativeProductionFilePath,NumberOfMethods,Assertion Roulette,Conditional Test Logic,Constructor Initialization,Default Test,EmptyTest,Exception Catching Throwing,General Fixture,Mystery Guest,Print Statement,Redundant Assertion,Sensitive Equality,Verbose Test,Sleepy Test,Eager Test,Lazy Test,Duplicate Assert,Unknown Test,IgnoredTest,Resource Optimism,Magic Number Test,Dependent Test
02-Pacman,GameControllerWhiteBoxTests.java,src/test/java/pt/feup/tvvs/pacman/controller/game/GameControllerWhiteBoxTests.java,src/main/java/pt/feup/tvvs/pacman/controller/game/GameController.java,,,0,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
02-Pacman,ArenaControllerWhiteBoxTests.java,src/test/java/pt/feup/tvvs/pacman/controller/game/ArenaControllerWhiteBoxTests.java,src/main/java/pt/feup/tvvs/pacman/controller/game/ArenaController.java,,,4,false,false,false,false,false,true,false,false,false,false,false,true,false,false,true,false,true,false,false,false,false
02-Pacman,InkyMovementBehaviourWhiteBoxTests.java,src/test/java/pt/feup/tvvs/pacman/controller/game/element/behaviours/InkyMovementBehaviourWhiteBoxTests.java,src/main/java/pt/feup/tvvs/pacman/controller/game/element/behaviours/InkyMovementBehaviour.java,,,6,false,true,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false
02-Pacman,GhostMovementBehaviourWhiteBoxTests.java,src/test/java/pt/feup/tvvs/pacman/controller/game/element/behaviours/GhostMovementBehaviourWhiteBoxTests.java,src/main/java/pt/feup/tvvs/pacman/controller/game/element/behaviours/GhostMovementBehaviour.java,,,5,true,false,false,false,false,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false
02-Pacman,BlinkyMovementBehaviourWhiteBoxTests.java,src/test/java/pt/feup/tvvs/pacman/controller/game/element/behaviours/BlinkyMovementBehaviourWhiteBoxTests.java,src/main/java/pt/feup/tvvs/pacman/controller/game/element/behaviours/BlinkyMovementBehaviour.java,,,7,false,false,false,false,false,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false
02-Pacman,PinkyMovementBehaviourWhiteBoxTests.java,src/test/java/pt/feup/tvvs/pacman/controller/game/element/behaviours/PinkyMovementBehaviourWhiteBoxTests.java,src/main/java/pt/feup/tvvs/pacman/controller/game/element/behaviours/PinkyMovementBehaviour.java,,,6,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false
02-Pacman,ClydeMovementBehaviourWhiteBoxTests.java,src/test/java/pt/feup/tvvs/pacman/controller/game/element/behaviours/ClydeMovementBehaviourWhiteBoxTests.java,src/main/java/pt/feup/tvvs/pacman/controller/game/element/behaviours/ClydeMovementBehaviour.java,,,10,false,true,false,false,false,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false
02-Pacman,PacmanControllerWhiteBoxTests.java,src/test/java/pt/feup/tvvs/pacman/controller/game/element/PacmanControllerWhiteBoxTests.java,src/main/java/pt/feup/tvvs/pacman/controller/game/element/PacmanController.java,,,19,true,true,false,false,false,true,false,false,false,false,false,false,false,false,true,true,false,false,false,false,false
02-Pacman,GhostControllerWhiteBoxTests.java,src/test/java/pt/feup/tvvs/pacman/controller/game/element/GhostControllerWhiteBoxTests.java,src/main/java/pt/feup/tvvs/pacman/controller/game/element/GhostController.java,,,7,true,false,false,false,false,true,false,false,false,false,false,true,false,false,true,true,false,false,false,false,false
02-Pacman,CollisionControllerWhiteBoxTests.java,src/test/java/pt/feup/tvvs/pacman/controller/game/element/CollisionControllerWhiteBoxTests.java,src/main/java/pt/feup/tvvs/pacman/controller/game/element/CollisionController.java,,,9,true,true,false,false,false,true,false,false,false,false,false,true,false,false,true,true,true,false,false,false,false
02-Pacman,DyingStateControllerWhiteBoxTests.java,src/test/java/pt/feup/tvvs/pacman/controller/game/DyingStateControllerWhiteBoxTests.java,src/main/java/pt/feup/tvvs/pacman/controller/game/DyingStateController.java,,,3,true,false,false,false,false,true,false,false,false,false,false,true,false,false,true,false,false,false,false,false,false
02-Pacman,ControllerWhiteBoxTests.java,src/test/java/pt/feup/tvvs/pacman/controller/ControllerWhiteBoxTests.java,src/main/java/pt/feup/tvvs/pacman/controller/Controller.java,,,0,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
02-Pacman,MainMenuControllerWhiteBoxTests.java,src/test/java/pt/feup/tvvs/pacman/controller/menu/MainMenuControllerWhiteBoxTests.java,src/main/java/pt/feup/tvvs/pacman/controller/menu/MainMenuController.java,,,8,true,false,false,false,false,true,false,false,false,false,false,true,false,true,true,true,true,false,false,false,false
02-Pacman,AlertMenuControllerWhiteBoxTests.java,src/test/java/pt/feup/tvvs/pacman/controller/menu/AlertMenuControllerWhiteBoxTests.java,src/main/java/pt/feup/tvvs/pacman/controller/menu/AlertMenuController.java,,,4,false,false,false,false,false,true,false,false,false,false,false,true,false,false,true,false,true,false,false,false,false
02-Pacman,PauseMenuControllerWhiteBoxTests.java,src/test/java/pt/feup/tvvs/pacman/controller/menu/PauseMenuControllerWhiteBoxTests.java,src/main/java/pt/feup/tvvs/pacman/controller/menu/PauseMenuController.java,,,6,false,false,false,false,false,true,false,false,false,false,false,true,false,false,true,false,true,false,false,false,false
02-Pacman,MenuControllerWhiteBoxTests.java,src/test/java/pt/feup/tvvs/pacman/controller/menu/MenuControllerWhiteBoxTests.java,src/main/java/pt/feup/tvvs/pacman/controller/menu/MenuController.java,,,8,false,true,false,false,false,true,false,false,false,false,false,true,false,false,true,true,true,false,false,false,false
